Supo1,40,25,,,,,,,,,,,,,,,,,,,,,,,,
Supo1,TCID,TEMP,VF1,VF2,VF3,VF4,VF5,VF6,VF7,VF8,VF9,VF10,kw,KWMAX,VF,RR,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6,TEMP7,TEMP8,TEMP9,TEMP10
Supo1,0,5,30,31,32,33,34,35,36,37,38,39,54,56,409,455,474,526,528,530,532,534,536,538,540,542
Supo1,1,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4273,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,2,69.2328,0.00248874,0.00526923,0.00828222,0.0113599,0.0141008,0.0168659,0.0196113,0.022083,0.0242188,0.0258243,22.8298,96.6035,0.0150104,-1.60E-06,62.6163,64.0762,65.6619,67.2859,68.7363,70.203,71.663,72.9808,74.1222,74.982
Supo1,3,69.2328,0.00248874,0.00526923,0.00828222,0.0113599,0.0141008,0.0168659,0.0196113,0.022083,0.0242188,0.0258243,22.8298,867.222,0.0150104,1.31E-07,62.6163,64.0762,65.6619,67.2859,68.7363,70.203,71.663,72.9808,74.1222,74.982
Supo1,4,69.2328,0.00248874,0.00526923,0.00828222,0.0113599,0.0141008,0.0168659,0.0196113,0.022083,0.0242188,0.0258243,22.8298,16033.6,0.0150104,1.11E-07,62.6163,64.0762,65.6619,67.2859,68.7363,70.203,71.663,72.9808,74.1222,74.982
Supo1,5,39.6856,0.00123389,0.00261486,0.00411432,0.00564927,0.00701906,0.00840365,0.00978103,0.0110233,0.0120983,0.0129072,12.1745,16.3745,0.00748449,0.196302,35.1583,36.1611,37.2557,38.3771,39.3676,40.3688,41.3633,42.2504,43.005,43.549
Supo1,6,69.233,0.00248874,0.00526923,0.00828222,0.0113599,0.0141008,0.0168659,0.0196113,0.022083,0.0242188,0.0258243,22.8298,31.3166,0.0150104,-0.000132192,62.6165,64.0764,65.6621,67.2861,68.7365,70.2033,71.6632,72.981,74.1224,74.9822
Supo1,7,69.2328,0.00248874,0.00526923,0.00828222,0.0113599,0.0141008,0.0168659,0.0196113,0.022083,0.0242188,0.0258243,22.8298,242.771,0.0150104,-2.52E-05,62.6163,64.0763,65.662,67.2859,68.7363,70.2031,71.663,72.9808,74.1222,74.9821
Supo1,8,69.2328,0.00248874,0.00526923,0.00828222,0.0113599,0.0141008,0.0168659,0.0196113,0.022083,0.0242188,0.0258243,22.8298,4581.53,0.0150104,-1.98E-05,62.6163,64.0763,65.662,67.2859,68.7363,70.2031,71.663,72.9808,74.1222,74.982
Supo1,9,35.4594,0.000951709,0.00201757,0.00317569,0.0043621,0.00542172,0.00649355,0.00756059,0.00852374,0.00935796,0.00998626,9.49454,26.4273,0.00578509,0.000186684,31.1211,32.0784,33.1181,34.1829,35.1339,36.0956,37.0529,37.9169,38.6653,39.2291
Supo1,10,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4273,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,11,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4257,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,12,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4273,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,13,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4273,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,14,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4273,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,15,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4273,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,16,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4273,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,17,35.4595,0.000951737,0.00201763,0.00317578,0.00436223,0.00542188,0.00649374,0.00756081,0.00852399,0.00935824,0.00998656,9.49481,64.8928,0.00578526,1.25E-05,31.1213,32.0785,33.1182,34.183,35.134,36.0957,37.053,37.917,38.6654,39.2292
Supo1,18,47.6946,0.00146277,0.00309984,0.00487723,0.00669649,0.00831994,0.00996084,0.0115931,0.0130653,0.0143395,0.0152986,14.1436,96.5969,0.00887137,2.82E-06,42.423,43.5862,44.8496,46.1435,47.2991,48.4677,49.6309,50.6808,51.5903,52.2753
Supo1,19,59.7294,0.00201711,0.00427255,0.00671885,0.00922012,0.0114498,0.0137013,0.0159386,0.0179547,0.0196982,0.0210095,18.9307,96.5969,0.0121981,1.26E-07,53.6701,55.0071,56.4593,57.9465,59.2747,60.618,61.955,63.1618,64.2071,64.9946
Supo1,20,71.5928,0.00261034,0.00552604,0.00868477,0.0119105,0.0147825,0.0176792,0.0205545,0.0231426,0.0253786,0.0270591,23.8122,96.5969,0.0157328,-2.05E-06,64.8452,66.334,67.9512,69.6073,71.0864,72.5823,74.0711,75.415,76.5791,77.456
Supo1,21,83.3047,0.00323948,0.00685364,0.0107639,0.0147516,0.0182972,0.0218689,0.0254098,0.0285931,0.0313404,0.0334034,28.7618,96.5969,0.0194522,-4.69E-06,75.9419,77.5666,79.3311,81.1383,82.7522,84.3844,86.009,87.4754,88.7456,89.7024
Supo1,22,88.622,0.00378785,0.00800563,0.0125593,0.017193,0.0213048,0.0254389,0.0295295,0.0332006,0.0438057,0.220151,33.087,96.5969,0.0414977,-0.0178043,82.8549,84.1453,85.5468,86.9822,88.2641,89.5605,90.8509,92.0156,92.9997,93.0002
Supo1,23,90.3596,0.00433105,0.00914455,0.0143309,0.0195975,0.0242622,0.0289439,0.0335683,0.0820638,0.308219,0.41675,37.5578,96.5969,0.0941211,-0.0332363,86.1795,87.1552,88.215,89.3004,90.2697,91.2501,92.2258,92.9996,93.0003,93.0002
Supo1,24,91.0082,0.00474713,0.0100177,0.0156902,0.0214437,0.0265342,0.0316374,0.0366725,0.28676,0.442369,0.520978,41.0754,96.5969,0.139685,0.0158181,87.4165,88.2928,89.2447,90.2195,91.0901,91.9705,92.8469,93.0004,93.0001,93.0001
Supo1,25,35.4595,0.000951736,0.00201763,0.00317578,0.00436222,0.00542187,0.00649374,0.00756081,0.00852398,0.00935823,0.00998655,9.4948,50.0144,0.00578526,8.55E-06,31.1213,32.0785,33.1182,34.183,35.134,36.0957,37.053,37.917,38.6654,39.2292
Supo1,26,47.6946,0.00146277,0.00309984,0.00487723,0.00669649,0.00831994,0.00996084,0.0115931,0.0130653,0.0143395,0.0152986,14.1436,431.273,0.00887137,2.13E-06,42.423,43.5862,44.8496,46.1435,47.2991,48.4677,49.6309,50.6808,51.5903,52.2753
Supo1,27,59.7294,0.00201711,0.00427255,0.00671885,0.00922012,0.0114498,0.0137013,0.0159386,0.0179547,0.0196982,0.0210095,18.9307,867.068,0.0121981,7.10E-07,53.6701,55.0071,56.4593,57.9465,59.2747,60.618,61.955,63.1618,64.2071,64.9946
Supo1,28,71.5928,0.00261034,0.00552604,0.00868477,0.0119105,0.0147825,0.0176792,0.0205545,0.0231426,0.0253786,0.0270591,23.8122,867.068,0.0157328,2.25E-08,64.8452,66.334,67.9512,69.6073,71.0864,72.5823,74.0711,75.415,76.5791,77.456
Supo1,29,83.3047,0.00323948,0.00685364,0.0107639,0.0147516,0.0182972,0.0218689,0.0254098,0.0285931,0.0313404,0.0334034,28.7618,867.068,0.0194522,-5.14E-07,75.9419,77.5665,79.3311,81.1382,82.7522,84.3844,86.009,87.4754,88.7456,89.7024
Supo1,30,88.622,0.00378798,0.00800574,0.0125594,0.017193,0.0213047,0.0254387,0.0295294,0.0332005,0.043842,0.220114,33.09,867.068,0.0414976,-0.0183344,82.8549,84.1453,85.5468,86.9822,88.2641,89.5605,90.8509,92.0156,92.9997,93.0002
Supo1,31,90.3595,0.00433006,0.00914293,0.0143291,0.0195957,0.0242607,0.0289426,0.033567,0.0816838,0.308317,0.416835,37.5525,867.068,0.0941004,-0.0181098,86.1794,87.1552,88.2149,89.3003,90.2697,91.25,92.2257,92.9997,93,93.0001
Supo1,32,91.0081,0.00474714,0.0100177,0.0156902,0.0214438,0.0265342,0.0316374,0.0366726,0.286995,0.44237,0.520978,41.074,867.068,0.139709,0.00325671,87.4165,88.2928,89.2447,90.2195,91.0901,91.9705,92.8469,93.0002,93.0001,93.0001
Supo1,33,35.4595,0.000951736,0.00201763,0.00317578,0.00436222,0.00542187,0.00649374,0.00756081,0.00852398,0.00935823,0.00998655,9.4948,48.9307,0.00578526,8.31E-06,31.1213,32.0785,33.1182,34.183,35.134,36.0957,37.053,37.917,38.6654,39.2292
Supo1,34,47.6946,0.00146277,0.00309984,0.00487723,0.00669649,0.00831994,0.00996084,0.0115931,0.0130653,0.0143395,0.0152986,14.1436,340.061,0.00887137,2.09E-06,42.423,43.5862,44.8496,46.1435,47.2991,48.4677,49.6309,50.6808,51.5903,52.2753
Supo1,35,59.7294,0.00201711,0.00427255,0.00671885,0.00922012,0.0114498,0.0137013,0.0159386,0.0179547,0.0196982,0.0210095,18.9307,8212.5,0.0121981,6.93E-07,53.6701,55.0071,56.4593,57.9465,59.2747,60.618,61.955,63.1618,64.2071,64.9946
Supo1,36,71.5928,0.00261034,0.00552604,0.00868477,0.0119105,0.0147825,0.0176792,0.0205545,0.0231426,0.0253786,0.0270591,23.8122,16030.3,0.0157328,5.61E-09,64.8452,66.334,67.9512,69.6073,71.0864,72.5823,74.0711,75.415,76.5791,77.456
Supo1,37,83.3047,0.00323948,0.00685364,0.0107639,0.0147516,0.0182972,0.0218689,0.0254098,0.0285931,0.0313404,0.0334034,28.7618,16030.3,0.0194522,-4.43E-07,75.9419,77.5665,79.3311,81.1382,82.7522,84.3844,86.009,87.4754,88.7456,89.7024
Supo1,38,88.622,0.00378735,0.00800467,0.0125581,0.0171918,0.0213038,0.0254381,0.0295289,0.0332002,0.0430232,0.220204,33.0865,16030.3,0.041424,0.012123,82.8548,84.1452,85.5468,86.9822,88.2641,89.5605,90.8509,92.0156,93,93.0001
Supo1,39,90.3595,0.00433004,0.00914284,0.0143289,0.0195956,0.0242606,0.0289425,0.0335669,0.0813105,0.308315,0.41684,37.5582,16030.3,0.0940633,0.00177794,86.1794,87.1551,88.2149,89.3003,90.2697,91.25,92.2257,92.9998,93,93.0001
Supo1,40,91.0082,0.00474714,0.0100177,0.0156902,0.0214438,0.0265342,0.0316374,0.0366726,0.286641,0.442371,0.520978,41.0721,16030.3,0.139673,0.022011,87.4165,88.2928,89.2447,90.2195,91.0901,91.9705,92.8469,93.0004,93.0001,93.0001
